# gmice  threads=8  n=1024
# static chunk size    Static Timing   Dynamic Timing   Guided Timing
1                           15.71           15.50            17.98
2                           15.50           15.55            17.75
4                           15.71           15.55            17.75
8                           16.32           16.12            17.95
10                          16.32           16.32            17.75
20                          17.95           17.34            17.95
40                          21.01           20.43            20.20
80                          34.27           34.07            34.12
100                         44.51           44.53            44.47
200                         80.40           80.17            80.38
400                         82.02           81.81            82.02
800                        120.78          120.56            120.56
