# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72f63de24d0
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a8cfefbe203fc0,memcpyHtoD,5573.25,6516,,,,,,,,,,0,8388608
11a8cfefbe81f900,memcpyHtoD,6226.75,7042,,,,,,,,,,0,8388608
11a8cfefbeedd1e0,memcpyHtoD,5915.26,6740,,,,,,,,,,0,8388608
11a8cfefbf54a500,memcpyHtoD,6048.54,6858,,,,,,,,,,0,8388608
11a8cfefbfbfb200,memcpyHtoD,6412.22,7364,,,,,,,,,,0,8388608
11a8cfefc02a77c0,memcpyHtoD,4300.99,4872,,,,,,,,,,0,8388608
11a8cfefc06d8240,_Z21init_particles_kernel9particles,7140.96,7178,0.667,8192,1,256,1,1,0,64,15,0,,2048,67584,2048,2428961,0,4096,0,65536,0,1572864,0,65536,659,875
11a8cfefc0dd3cc0,_Z18time_update_kernel9particlesff,4806.91,4835,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527850,0,4096,0,327680,0,786432,0,327680,1280,0
11a8cfefc12872a0,_Z32apply_azimuth_observation_kernel9particles11observation,4243.52,4271,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757239,0,4096,0,196608,0,262144,0,196608,768,0
11a8cfefc1713440,memcpyHtoD,8.16,3,,,,,,,,,,0,4
11a8cfefc1718d40,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,394.24,432,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,110,148
11a8cfefc1795520,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,13.888,41,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,122,0,1,0,1,0,4,0,1,0,0
11a8cfefc17b40e0,memcpyDtoH,4.672,32,,,,,,,,,,0,4
11a8cfefc17fb820,_Z15multiply_kernelPff,998.176,1024,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,94,160
11a8cfefc194e600,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1817.95,1846,0.333,8,1,128,1,1,0,3664,27,0,,2,57929,683,397222,220600,4,4,65664,6,262660,0,65664,8,127
11a8cfefc1b26aa0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.704,49,0.167,1,1,128,1,1,0,3664,27,0,,0,0,0,0,2,1,1,1,2,4,0,1,0,0
11a8cfefc1b476a0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,1003.01,1035,1,8,1,256,1,1,0,48,6,0,,2,32930,2,164619,0,4,768,49248,0,261632,0,65408,111,0
11a8cfefc1ca5320,_Z18floor_array_kernelPf,1002.34,1029,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,91,163
11a8cfefc1dc1da0,_Z19copy_indexes_kernel9particlesS_,18162,18190,1,8192,1,256,1,1,0,112,5,0,,2048,574349,8811,2835295,0,4096,1048575,65536,1953436,240848,0,65536,372,140
11a8cfefc2f34960,_Z24copy_particles_v2_kernel9particlesS_i,17379.6,17412,0.667,8192,1,256,1,1,0,128,13,0,,2048,83968,2048,2691125,0,4096,4194304,131072,0,1310720,0,131072,1454,1472
11a8cfefc3fe5500,_Z17init_array_kernelPff,642.24,671,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217120,0,4096,0,0,0,262144,0,0,95,159
11a8cfefc409dda0,_Z18time_update_kernel9particlesff,4969.02,4996,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527849,0,4096,0,327680,0,786432,0,327680,553,725
11a8cfefc4579e80,_Z32apply_azimuth_observation_kernel9particles11observation,4183.55,4212,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757238,0,4096,0,196608,0,262144,0,196608,354,412
11a8cfefc49e4ca0,memcpyHtoD,10.528,3,,,,,,,,,,0,4
11a8cfefc49eae80,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,395.296,435,1,8,1,384,1,1,1536,48,10,0,,2,17582,4,118150,0,4,0,65544,8,0,0,65544,109,149
11a8cfefc4a6a060,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,13.952,46,0.042,1,1,32,1,1,128,48,10,0,,0,0,0,0,0,1,0,1,0,4,0,1,0,0
11a8cfefc4a8c4a0,memcpyDtoH,4.64,31,,,,,,,,,,0,4
11a8cfefc4ad1860,_Z15multiply_kernelPff,1000.48,1027,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,91,163
