# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72ff3b809b8
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a888a96175aba0,memcpyHtoD,5856.54,6618,,,,,,,,,,0,8388608
11a888a961dbffc0,memcpyHtoD,6003.26,6835,,,,,,,,,,0,8388608
11a888a962445960,memcpyHtoD,7040.22,7860,,,,,,,,,,0,8388608
11a888a962bd8b80,memcpyHtoD,6145.5,7033,,,,,,,,,,0,8388608
11a888a963280200,memcpyHtoD,6533.92,7351,,,,,,,,,,0,8388608
11a888a96395a8e0,memcpyHtoD,4618.91,5254,,,,,,,,,,0,8388608
11a888a963e37940,_Z21init_particles_kernel9particles,7111.94,7536,0.667,8192,1,256,1,1,0,64,15,0,,2048,67584,2048,2428960,0,4096,0,65536,0,1572864,0,65536,644,890
11a888a964578380,_Z18time_update_kernel9particlesff,4805.7,5146,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527850,0,4096,0,327680,0,786432,0,327680,544,734
11a888a964a85680,_Z32apply_azimuth_observation_kernel9particles11observation,4212.26,4545,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757238,0,4096,0,196608,0,262144,0,196608,324,442
11a888a964f43520,memcpyHtoD,6.656,3,,,,,,,,,,0,4
11a888a964f489c0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,389.664,575,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,113,145
11a888a96500c200,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.88,345,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,1,0,1,0,4,0,1,0,0
11a888a9650644a0,memcpyDtoH,10.464,191,,,,,,,,,,0,4
11a888a9650bec80,_Z15multiply_kernelPff,1003.87,1030,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,96,158
11a888a9652579a0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1814.27,1842,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398977,210592,4,4,65408,8,261632,0,65408,8,127
11a888a9654303a0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.32,52,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1175,0,0,0,0,0,0,0,0,0,0
11a888a9654512e0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,993.824,1022,1,8,1,256,1,1,0,48,6,0,,2,32674,2,163339,0,4,768,49248,0,196992,0,49248,6,112
11a888a9655b74e0,_Z18floor_array_kernelPf,1000.42,1026,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,97,157
11a888a9656cc200,_Z21copy_particles_kernel9particlesS_,967100,967129,0.333,8192,1,256,1,1,0,112,22,0,,2048,551861,8571,70459274,0,4096,1048575,5055196,11698392,5415300,0,5041141,212755,1661
11a888a99f18dd00,_Z18time_update_kernel9particlesff,4932.83,5272,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527850,0,4096,0,327680,0,786432,0,327680,560,718
11a888a99f69d7c0,_Z32apply_azimuth_observation_kernel9particles11observation,4182.94,4363,1,8192,1,256,1,1,0,96,7,0,,2048,198658,2049,1757243,0,4096,0,196608,0,262144,0,196608,327,439
11a888a99fba7ec0,memcpyHtoD,11.104,4,,,,,,,,,,0,4
11a888a99fbae2e0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,392.032,571,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,88,170
11a888a99fc684a0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,15.008,194,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,1,0,1,0,4,0,1,0,0
11a888a99fcc6b80,memcpyDtoH,4.544,184,,,,,,,,,,0,4
11a888a99fd5b000,_Z15multiply_kernelPff,996.416,1175,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,93,161
11a888a99ff21620,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1797.6,1988,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398973,223932,4,4,65664,6,262660,0,65664,8,127
11a888a9a0143fe0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.896,351,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1171,2,1,1,1,2,4,0,1,0,0
11a888a9a0176a00,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,995.136,1024,1,8,1,256,1,1,0,48,6,0,,2,32674,2,163339,0,4,768,49248,0,196992,0,49248,111,0
11a888a9a030a3e0,_Z18floor_array_kernelPf,1003.33,1179,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,92,162
11a888a9a0476d60,_Z21copy_particles_kernel9particlesS_,59559.4,59736,0.333,8192,1,256,1,1,0,112,22,0,,2048,215433,64553,12795680,0,4096,1048575,1518706,12473328,1250548,0,1498971,12853,1633
