# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72f63c73648
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a8dab60ff99680,memcpyHtoD,6091.01,6922,,,,,,,,,,0,8388608
11a8dab61063b4e0,memcpyHtoD,6174.46,7020,,,,,,,,,,0,8388608
11a8dab610cf02a0,memcpyHtoD,6065.7,6907,,,,,,,,,,0,8388608
11a8dab611386e60,memcpyHtoD,6079.94,6907,,,,,,,,,,0,8388608
11a8dab611a24ba0,memcpyHtoD,6729.34,7571,,,,,,,,,,0,8388608
11a8dab61214d000,memcpyHtoD,4865.02,5624,,,,,,,,,,0,8388608
11a8dab61260b740,_Z21init_particles_kernel9particles,7097.76,7145,0.667,8192,1,256,1,1,0,64,15,0,,2048,67584,2048,2428960,0,4096,0,65536,0,1572864,0,65536,663,871
11a8dab612cfe780,_Z18time_update_kernel9particlesff,4786.5,4816,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527845,0,4096,0,327680,0,786432,0,327680,532,746
11a8dab6131ece60,_Z32apply_azimuth_observation_kernel9particles11observation,4198.62,4471,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757237,0,4096,0,196608,0,262144,0,196608,331,435
11a8dab613696680,memcpyHtoD,10.88,4,,,,,,,,,,0,4
11a8dab61369cdc0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,394.944,591,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,98,160
11a8dab613763e40,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.816,341,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,1,0,1,0,4,0,1,0,0
11a8dab61378d5c0,memcpyDtoH,3.712,32,,,,,,,,,,0,4
11a8dab6137d7780,_Z15multiply_kernelPff,998.016,1025,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233493,0,4096,0,65536,0,262144,0,65536,82,173
11a8dab613938040,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1814.56,1842,0.333,8,1,128,1,1,0,3664,27,0,,2,57929,683,397225,233164,4,4,65664,8,261632,0,65408,8,127
11a8dab613b11860,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.736,49,0.167,1,1,128,1,1,0,3664,27,0,,0,0,0,0,2,1,1,1,0,0,0,0,0,0
